Color,/wp-content/plugins/wp-muestrario/laminados/Color/dermacolor.jpg
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2152gold.png,2152.gold
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2111blanco.png,2111.blanco
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2137red.png,2137.red
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/221cerulean.png,2221.cerulean
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2110ebano.png,2110.ebano
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2256platinum.png,2256.platinum
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2192carbon.png,2192.carbon
Color,Básicos,/wp-content/plugins/wp-muestrario/laminados/Color/BasicosColor/2119silice.png,2119.silice

Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2225terracota.png,2225.terracota
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2295orangine.png,2295.orangine
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2273pink.png,2273.pink
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2158burgundi.png,2158.burgundi
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2298mostaza.png,2298.mostaza
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2100antiqueblanco.png,2100.antique blanco
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2111taupe.png,2111.taupe
Color,Calidos,/wp-content/plugins/wp-muestrario/laminados/Color/CalidosColor/2158marron.png,2158.marrón

Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2180mediterranean.png,2180.mediterranean
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2176turquesa.png,2176.turquesa
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2221cerulean.png,2221.cerulean
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/0888lapizlasul.png,0888.lapizlasul
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2248oliva.png,2248.oliva
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2186neon.png,2186.neon
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2252forest.png,2252.forest
Color,Fríos,/wp-content/plugins/wp-muestrario/laminados/Color/FriosColor/2180mediterranean.png,2205.citrus

Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/texturas.jpg
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/MAT.png,MAT
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/BRILLO.png,BRILLO
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/CUERO.png,CUERO
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/EXTREM-MATE.png,EXTREM MATE
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/PW.png,PW
Texturas,/wp-content/plugins/wp-muestrario/laminados/Texturas/BR-BRUSHED.png,BR BRUSHED

RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/timber.jpg
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1461Laricerustic.png,1461 Larice rustic  
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1467Roblelienal.png,1467 Roble lienal   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1517spicedchestnut.png,1517.spiced-chestnut   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1469segatomiele.png,1469.segato miele   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1807wengue.png,1807.wengué   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1532countrysideoak.png,1532.country side oak   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1513italianwalnut.png,1513.italian walnut
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1474classiccherry.png,1474.classic cherry   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1532cottageoak.png,1532.cottage oak  
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1522oakwheat.png,1522.oak wheat   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1523honeyoak.png,1523.honey oak   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1524oakganache.png,1524.oak ganache   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1599naturalelm.png,1599.natural elm   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1538oak.png,1538.oak   
RealWood,/wp-content/plugins/wp-muestrario/laminados/RealWood/1513italianwalnut.png,1531.natural elm nordic

Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/asia.jpg
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/01serieRicharddifusion.png,01.serie Richard.difusion
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/02RF.png,02.RF
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/03RF.png,03 RF
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/04RF.png,04 RF
Art Work,/wp-content/plugins/wp-muestrario/laminados/ArtWork/2021cristal.png,2021.cristal
